BMI,PhysicalActivity5OrMoreDays,WhatIsYourSex
19.703297804804702,4.0,2.0
20.674945215485756,8.0,2.0
22.958367346938775,1.0,1.0
23.733650416171223,6.0,1.0
20.770031217481787,1.0,1.0
27.585285174913963,1.0,1.0
30.210197710718,1.0,1.0
30.764705882352942,1.0,1.0
33.42899659863946,2.0,1.0
23.035156249999996,1.0,1.0
37.92588611185762,1.0,1.0
18.608152358011218,6.0,1.0
17.41503255673906,2.0,1.0
24.991735537190088,1.0,1.0
24.326905417814512,3.0,1.0
26.15977961432507,8.0,1.0
21.160697887970617,1.0,1.0
27.48943985307622,1.0,2.0
24.844821290924582,1.0,1.0
22.733803334558456,5.0,2.0
23.32505478451424,5.0,2.0
20.57114512471656,3.0,1.0
22.0894901144641,1.0,1.0
20.73058390022676,3.0,1.0
24.754413037750762,1.0,1.0
21.161101870258427,3.0,1.0
22.494031221303953,3.0,2.0
29.622857142857143,5.0,2.0
25.584775086505193,5.0,1.0
18.901234567901234,1.0,2.0
26.598765432098766,3.0,2.0
24.54526534859521,1.0,1.0
20.659415107832437,1.0,1.0
18.605468749999996,3.0,2.0
18.954115785630247,5.0,1.0
26.211072664359865,1.0,1.0
20.53531009506564,6.0,2.0
17.668059556168604,6.0,2.0
29.73356009070295,7.0,2.0
25.200000000000003,8.0,2.0
26.682624041543264,4.0,1.0
25.325987144168966,3.0,1.0
21.36888888888889,1.0,1.0
27.1522491349481,1.0,1.0
21.215986394557827,1.0,1.0
21.190311418685123,8.0,1.0
31.007812499999993,1.0,1.0
20.82644628099174,1.0,1.0
27.965561224489804,3.0,1.0
20.73469387755102,4.0,2.0
23.699591836734694,8.0,2.0
26.48655472793839,4.0,2.0
22.61772853185596,3.0,2.0
18.961450028367523,5.0,2.0
19.639284541192627,6.0,2.0
21.16888888888889,3.0,1.0
20.89356575963719,2.0,1.0
26.05619146722164,4.0,1.0
22.907461179144047,5.0,2.0
30.065648276732738,7.0,2.0
30.475678581026603,1.0,2.0
24.169550173010382,2.0,2.0
22.733803334558456,3.0,2.0
30.605536332179934,1.0,2.0
28.61821793873661,6.0,2.0
29.038062283737027,8.0,2.0
18.847645429362885,1.0,2.0
22.498582766439913,8.0,1.0
43.94809688581316,2.0,1.0
33.002191380569755,6.0,2.0
28.271468144044324,8.0,2.0
27.91629844716576,4.0,2.0
21.975341641885795,4.0,2.0
28.41975308641975,4.0,2.0
20.82644628099174,7.0,2.0
24.50138504155125,8.0,2.0
32.58448979591837,4.0,2.0
31.49539199596011,6.0,2.0
32.43629794120969,2.0,1.0
24.3811400758458,4.0,1.0
29.959876543209873,1.0,2.0
21.254164931278638,8.0,2.0
21.975341641885795,5.0,2.0
20.41170634920635,6.0,2.0
20.3288726170938,5.0,1.0
22.576177285318558,5.0,1.0
35.34020083102493,3.0,1.0
31.65472910927457,2.0,1.0
17.337777777777777,2.0,1.0
32.24999999999999,4.0,1.0
31.705882352941178,3.0,1.0
28.69927159209157,2.0,1.0
22.498582766439913,4.0,2.0
23.302862811791385,6.0,2.0
19.598765432098766,7.0,2.0
23.743775464010866,4.0,2.0
15.034787542178027,1.0,2.0
17.638888888888886,5.0,1.0
28.125000000000004,2.0,1.0
22.082031725424965,2.0,1.0
24.266581632653065,6.0,1.0
19.632963988919666,1.0,1.0
22.32506887052342,8.0,1.0
29.529085872576175,3.0,2.0
25.17877551020408,1.0,1.0
27.585285174913963,3.0,1.0
20.326905417814512,3.0,2.0
29.622857142857143,4.0,2.0
17.773061224489794,3.0,2.0
20.560553633217996,1.0,2.0
20.29938271604938,5.0,2.0
19.99265381083563,3.0,1.0
20.24422897480628,2.0,1.0
15.400067904028973,3.0,2.0
20.08928571428572,1.0,1.0
18.514285714285716,2.0,2.0
20.66115702479339,1.0,1.0
30.065648276732738,3.0,2.0
23.558691135734072,1.0,1.0
19.328367630349703,2.0,2.0
27.32071995464853,3.0,2.0
29.231111111111108,2.0,1.0
23.025471050195584,7.0,2.0
19.328367630349703,3.0,2.0
27.60355389670981,2.0,2.0
20.199218749999996,3.0,1.0
22.679687499999996,3.0,1.0
25.691406249999993,1.0,1.0
22.082031725424965,3.0,1.0
24.638888888888886,3.0,2.0
21.50173010380623,3.0,1.0
24.41190861530355,1.0,1.0
17.5,3.0,2.0
31.153513093851707,3.0,2.0
23.699591836734694,3.0,2.0
20.018518518518515,3.0,2.0
23.025471050195584,3.0,2.0
20.374999999999996,3.0,1.0
21.261718749999996,3.0,2.0
27.467128027681664,1.0,1.0
25.325987144168966,2.0,1.0
31.391003460207614,3.0,2.0
20.57114512471656,3.0,1.0
29.349198333543743,1.0,2.0
21.972656249999996,3.0,1.0
22.494031221303953,3.0,2.0
23.32505478451424,3.0,2.0
23.002961580591506,3.0,1.0
20.026835180055404,3.0,1.0
19.598765432098766,1.0,2.0
25.446311176040904,2.0,2.0
23.79938271604938,3.0,1.0
21.325987144168966,3.0,1.0
19.250792213671346,3.0,2.0
21.530285204267923,1.0,1.0
20.4862810041778,5.0,1.0
19.703297804804702,1.0,2.0
20.75811134957707,4.0,2.0
25.691406249999993,3.0,1.0
23.621305296568142,7.0,1.0
20.82644628099174,3.0,1.0
20.89356575963719,8.0,2.0
19.61937716262976,4.0,2.0
18.781286461665854,3.0,1.0
21.161101870258427,1.0,2.0
18.640783186875606,3.0,2.0
21.98148148148148,2.0,2.0
23.16481994459834,2.0,1.0
21.902185223725283,3.0,1.0
23.92389143575804,5.0,1.0
23.90003387406376,3.0,1.0
25.114186851211073,2.0,1.0
19.50826165685831,3.0,1.0
22.021905227897175,1.0,1.0
23.561293236478605,2.0,1.0
19.631901840490798,1.0,1.0
21.261718749999996,2.0,1.0
19.248889037388484,3.0,1.0
20.75811134957707,3.0,1.0
18.954115785630247,1.0,1.0
20.248724489795922,1.0,1.0
17.92690729797885,2.0,1.0
18.833910034602077,3.0,2.0
19.60742630385488,1.0,2.0
27.07956088727931,1.0,2.0
23.037856259814895,3.0,2.0
29.249223161482174,3.0,2.0
21.32897959183673,8.0,2.0
25.55272108843538,8.0,2.0
27.735641017073743,4.0,2.0
47.29603635035904,2.0,1.0
17.466229011488448,1.0,2.0
19.82736455463728,2.0,2.0
19.463667820069205,8.0,2.0
21.574316290130795,1.0,2.0
21.161101870258427,1.0,1.0
20.66115702479339,1.0,1.0
21.710718002081162,3.0,1.0
22.6593204775023,5.0,1.0
22.148437499999996,2.0,1.0
23.049418495238815,4.0,2.0
22.820987654320984,6.0,2.0
18.901234567901234,1.0,2.0
17.26643598615917,6.0,2.0
20.3288726170938,8.0,2.0
21.672788079667946,8.0,2.0
20.543462381300216,8.0,2.0
21.867056245434622,2.0,2.0
18.819576333089845,3.0,2.0
18.03318593046371,7.0,2.0
18.514285714285716,2.0,2.0
21.0,2.0,2.0
19.635581711181533,3.0,2.0
13.299382716049383,8.0,2.0
23.372144914600998,1.0,1.0
25.733823046373434,8.0,2.0
16.218148970604844,1.0,1.0
19.04432132963989,4.0,1.0
18.6593204775023,8.0,1.0
20.14377658173059,4.0,1.0
19.120027099251008,4.0,1.0
22.757785467128027,7.0,1.0
25.005847171639548,3.0,2.0
22.655567117585846,1.0,1.0
20.719723183391007,1.0,1.0
27.820312499999993,3.0,1.0
29.990817263544542,8.0,2.0
17.5,1.0,2.0
27.60355389670981,3.0,2.0
17.89546774397172,7.0,2.0
34.80816326530612,1.0,2.0
22.602076124567475,2.0,2.0
18.901234567901234,2.0,2.0
21.215986394557827,1.0,2.0
33.996237570545546,4.0,2.0
28.64819944598338,1.0,2.0
28.632748390354752,1.0,2.0
23.002961580591506,1.0,1.0
17.041617122473244,3.0,1.0
27.999999999999996,1.0,1.0
17.718749999999996,1.0,1.0
17.26643598615917,2.0,1.0
20.026835180055404,2.0,1.0
18.82828282828283,4.0,1.0
22.191011235955056,8.0,2.0
19.996734693877553,8.0,2.0
20.580246913580247,6.0,2.0
25.8961937716263,1.0,2.0
31.076124567474054,2.0,1.0
15.706371191135736,3.0,2.0
22.733803334558456,3.0,2.0
22.733803334558456,8.0,2.0
25.195682363337962,8.0,2.0
23.240740740740737,5.0,2.0
20.61547783933518,8.0,1.0
32.49905314985482,1.0,2.0
26.598765432098766,3.0,2.0
21.174739701222276,8.0,2.0
19.631901840490798,7.0,1.0
16.74712970100207,1.0,1.0
21.672788079667946,1.0,1.0
15.695501730103807,1.0,1.0
